Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Korea, Dem. People's Rep.",PRK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,28100.01028,28737.43917,29467.12434,30312.88885,31059.26681,31645.94983,31378.15793,32771.07242,33690.37888,34121.02118
Kosovo,XKX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3279.055741,3520.782075,3739.198762,3890.212826,4009.123639,4219.097599,3990.98626,4429.977667,4666.41775,4854.333511
Kuwait,KWT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,30282.54256,29315.1931,29134.37257,27244.48726,26664.64879,26278.73963,25353.24044,26452.96877,27953.33943,27068.48691
Kyrgyz Republic,KGZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1101.705195,1121.082696,1146.103079,1177.43859,1197.610575,1226.824312,1117.703848,1145.567336,1212.23374,1263.987461
Lao PDR,LAO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2009.825386,2125.458901,2240.416182,2358.37249,2467.95558,2564.019465,2539.124338,2566.277234,2599.204888,2659.718385
Latvia,LVA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13162.65456,13786.4568,14242.57267,14845.33489,15558.492,15759.08184,15312.33506,16481.52435,17014.61909,16945.20433
Lebanon,LBN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7921.080236,7802.751368,8101.709668,8374.740359,8435.637354,8081.743344,6485.72604,6107.454709,6183.243915,..
Lesotho,LSO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1092.094266,1113.836835,1140.387874,1090.990303,1061.438059,1033.371164,944.2471692,950.2100257,952.2528378,950.706869
Liberia,LBR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,714.18249,699.6629469,675.0596106,678.5791441,673.411392,644.1620652,612.3842476,629.8205547,646.5011617,662.5032368
Libya,LBY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8057.29954,7867.514931,7639.231896,9968.915079,10595.24575,9821.661732,4041.63593,10121.52832,10140.73817,9861.045144
Liechtenstein,LIE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,167809.2699,..,..,..,..,..,..,..,..
Lithuania,LTU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13850.00013,14263.96458,14810.25178,15661.99625,16443.58529,17256.40815,17247.54369,18292.53285,18535.07797,18213.83425
Luxembourg,LUX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,105583.937,105462.0126,108351.4522,107142.1276,106376.7836,107350.6267,104616.0347,110425.8884,109714.9243,105996.6615
"Macao SAR, China",MAC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,95001.4822,73220.63556,71394.86114,76970.26821,80342.58758,76789.40658,34410.3458,41869.83924,32503.60383,57931.69638
Madagascar,MDG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,453.3834142,455.6380346,461.7360481,467.6550676,470.4238983,478.9269614,433.83824,447.7846759,453.858147,460.8341288
Malawi,MWI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,544.2637939,544.2768727,542.925737,549.6263017,558.5604527,573.400114,562.7830388,563.3619563,554.1985772,548.5785463
